,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Total duration (s)_Agitated Locomotion,0.135881,0.52014,0.227612,0.185972,-0.018323,-0.355711,-0.030677,-0.1169
Total duration (s)_Gaze,0.261995,-0.287124,0.411147,0.047122,-0.008191,0.073108,0.048548,-0.115042
Total duration (s)_Head cock stare,0.358536,-0.331824,-0.120865,0.318102,0.116634,-0.337913,0.033014,-0.021045
Total duration (s)_Isolation call,0.460111,0.129447,-0.282792,-0.112528,0.050509,0.357216,0.007638,-0.10089
Total number of occurences_Agitated Locomotion,0.199076,0.557676,0.141165,0.199783,-0.019889,-0.226787,-0.021043,-0.021783
Total number of occurences_Ek,-0.020136,-0.046114,0.256007,-0.221566,0.386059,-0.120598,-0.29614,0.055474
Total number of occurences_Gaze,0.150481,0.104604,0.225212,0.229441,-0.447166,0.229502,0.094888,0.526554
Total number of occurences_Head Swaying,0.110725,-0.220028,0.46686,0.153976,-0.211793,0.255186,0.102132,-0.072178
Total number of occurences_Head cock stare,0.392764,-0.286166,-0.140577,0.296447,0.14728,-0.296004,0.015819,0.038994
Total number of occurences_Isolation call,0.447394,0.182398,-0.284304,-0.122149,0.01554,0.353472,0.033963,-0.081051
Total number of occurences_Phee,-0.28312,-0.05755,-0.113907,0.534033,0.007288,0.157242,0.085744,-0.105233
Total number of occurences_Self scratch,-0.067017,0.100941,-0.037651,0.125242,0.562582,0.110161,0.373757,0.620285
Total number of occurences_Tsik (Single Tsik),0.045094,0.097297,0.399496,0.030474,0.465167,0.282488,0.232134,-0.363098
Total number of occurences_Twitter,-0.23491,0.097232,-0.227978,0.463319,0.045593,0.200071,0.011391,-0.324448
Total number of occurences_Whirr/Trill,-0.03761,-0.009261,-0.06222,-0.254393,-0.179578,-0.270778,0.827956,-0.188236
