Observation id_,Conditions_,Subject_,Total duration (s)_Agitated Locomotion,Total duration (s)_Gaze,Total duration (s)_Head cock stare,Total duration (s)_Isolation call,Total number of occurences_Agitated Locomotion,Total number of occurences_Ek,Total number of occurences_Gaze,Total number of occurences_Head Swaying,Total number of occurences_Head cock stare,Total number of occurences_Isolation call,Total number of occurences_Phee,Total number of occurences_Self scratch,Total number of occurences_Tsik (Single Tsik),Total number of occurences_Twitter,Total number of occurences_Whirr/Trill
Day1,Familiar_match,Bambi,0,19.787,0,10.477,0,0,2,0,0,3,0,0,0,0,0
Day1,Familiar_match,Blinky Bill,0,19.386,1.501,17.501,0,0,2,0,1,3,0,0,0,0,0
Day1,Familiar_match,Jack,0,11.745,0,6.291,0,0,2,0,0,2,0,0,0,0,0
Day1,Familiar_match,Maui,0,29.645,3.387,6.807,0,0,2,0,1,2,0,0,7,0,0
Day1,Familiar_match,Vaiana,0,19.636,0,0,0,0,2,0,0,0,0,0,0,0,0
Day2,Familiar_unmatch,Bambi,0,19.002,2.803,8.459,0,0,2,0,1,2,0,0,0,0,0
Day2,Familiar_unmatch,Blinky Bill,0,10.41,0,0,0,0,2,4,0,0,0,0,0,0,0
Day2,Familiar_unmatch,Jack,0,17.668,0,10.628,0,0,2,0,0,3,0,0,0,0,0
Day2,Familiar_unmatch,Maui,0,11.344,0,2.252,0,0,2,0,0,1,0,2,2,0,0
Day2,Familiar_unmatch,Vaiana,7.007,13.763,0,2.303,1,0,2,1,0,1,0,0,0,0,0
Day3,Unfamiliar_match,Aurora,0,21.655,0,0,0,0,2,0,0,0,0,0,0,0,0
Day3,Unfamiliar_match,Feline,0,29.512,0,0,0,0,2,0,0,0,0,0,0,0,0
Day3,Unfamiliar_match,Kobold,13.43,25.175,0,0,1,0,2,0,0,0,0,0,7,0,0
Day3,Unfamiliar_match,Lokri,0,26.426,0,5.488,0,0,2,4,0,2,0,0,5,0,0
Day3,Unfamiliar_match,Melvin,0,28.846,0,0,0,0,2,0,0,0,0,0,0,0,0
Day4,Unfamiliar_unmatch,Aurora,0,22.022,0,2.103,0,0,2,0,0,1,1,1,0,2,0
Day4,Unfamiliar_unmatch,Feline,0,29.012,4.455,5.306,0,0,2,0,1,2,0,0,0,0,0
Day4,Unfamiliar_unmatch,Kobold,0,11.962,0,6.69,0,0,1,0,0,2,0,0,0,0,0
Day4,Unfamiliar_unmatch,Lokri,0,19.22,0,0,0,0,2,1,0,0,1,0,5,2,0
Day4,Unfamiliar_unmatch,Melvin,0,32.582,0,0,0,0,2,0,0,0,0,0,0,0,0
Day5,Familiar_match,Hr. Nilsson,1.518,7.757,0,0,1,0,2,0,0,0,0,0,0,0,0
Day5,Familiar_match,Kiara,0,7.991,0,0,0,0,2,0,0,0,0,0,0,0,0
